OrganizationName,Type,Address,Phone,Hours of Operations,Services
CHRISTUS Spohn Shoreline,Health Care Centers/Clinics,"600 Elizabeth Street, Corpus Christi",361-881-3000,"Monday through Friday,8:00 a.m. to 5:00 p.m. and closed every day, 12:00 p.m. to 1:00 p.m",
CHRISTUS Spohn South,Health Care Centers/Clinics,"5950 Saratoga Boulevard, Corpus Christi",361-985-5000,,
Corpus Christi-Nueces County Public Health District,Health Care Centers/Clinics,"1702 Horne Road, Corpus Christi",361-826-7200,,
Coastal Bend Wellness Foundation,Health Care Centers/Clinics,"2882 Holly Road, Corpus Christi",361-814-2001,,"Provides medical, behavioral, and infectious disease services; and specializes in HIVcare for insured a n d uninsured individuals. Offers breast cancer a n d LGBT counseling programs. They offer a payscale discount for uninsured patients."
Amistad - Corpus Christi,Health Care Centers/Clinics,"1533 S. Brownlee Boulevard, Corpus Christi",361-884-2242,"Monday through Friday, 8:00 a.m. to 5:00 p.m. (All services) a n d Saturday, 9:00 a.m. to 2:00 p.m. (Pediatrics and behavioral)","Provides medical, behavioral, pediatrics, and dental services for both insured a n d uninsured individuals. They offer a payscale discount for uninsured patients."
Amistad- Robstown,Health Care Centers/Clinics,"814 E. Main Street, Robstown",361-886-3040,"Monday through Friday, 8:00 a.m. to 5:00 p.m.",Provides medical a n d behavioral services for both insured a n d uninsured individuals. They offer a payscale discount for uninsured patients.
CHRISTUS Care Van Mobile Clinic,Health Care Centers/Clinics,Mobile,361-877-3547,Times vary. Please call for more information on current hours and appointments,Provides free women's services for the uninsured. Must be 18 to 64 years old and present a photo I.D. Those younger than 81 years old are accepted if pregnant.The mobile clinic also serves rural areas a n d provides limited services for m e n such a s blood work.
Food Bank of Corpus Christi,Health Care Centers/Clinics,"826 Krill Street, Corpus Christi",361-887-6291,"Monday through Friday, 8:00 a.m. to 4:30 p.m.",Call to get help with applying for Medicaid.
Hector P. Garcia Memorial Family Health Center,Health Care Centers/Clinics,"2606 Hospital Boulevard, Corpus Christi",361-902-0900,"Monday to Friday, 8:00 a.m. to 5:00 p.m.","Family practice offers specialty clinics, laboratory and imaging services; a pharmacy with interior and drive-through access, and more. Accepts Nueces County Clinic Card. Does not a c c e p t ""Self-Pay"" Patients."
Metro Ministries- Gabbard Clinic,Health Care Centers/Clinics,"1919 Leopard Street, Corpus Christi",361-887-0151,"Monday through Friday, 9:00 a.m. to 11:45 a.m. and 1:00 p.m. to 3:45 p.m.","Provides free healthcare, medical care, and medication assistance for insured and uninsured individuals. Vision Care is available on the first Monday of every month. Please call ahead fo availability."
Mission of Mercy,Health Care Centers/Clinics,"2421 Ayers Street, Corpus Christi",361-883-5500,"Monday through Friday, 8:00 a.m. to 5:00 p.m. and closed every day, 12:00 p.m. to 1:00 p.m.","Provides free medical, vision care and a Medication Assistance Program (MAP). Other educational classes offered include diabetes, nutrition, and cooking classes."
The Deaf and Hard of Hearing Center,Health Care Centers/Clinics,"5151 McArdle Road, Corpus Christi",361-993-1154,"Monday through Thursday, 9:00 a.m. to 5:00 p.m., and Friday, 9:00 a.m. to 12:00 p.m.",
